PlantNumber,ProcessingDate,TimePoint,CodeDate,Lane,Treatment,MilkType,APC,CVTA
1,4/7/2022,Beginning,4/21/2022,2,Intervention,Fat Free White,TNTC,BDL
1,4/7/2022,Beginning,4/21/2022,2,Intervention,Fat Free White,TNTC,BDL
1,4/7/2022,Beginning,4/21/2022,2,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,2,Intervention,Fat Free White,TNTC,BDL
1,4/7/2022,Beginning,4/21/2022,2,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,2,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,2,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,2,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,2,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,2,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,2,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,2,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,2,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,2,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,2,Intervention,Fat Free White,TNTC,6.13E+01
1,4/7/2022,Beginning,4/21/2022,2,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,2,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,2,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,2,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,2,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,2,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,2,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,2,Intervention,Fat Free White,TNTC,BDL
1,4/7/2022,Beginning,4/21/2022,2,Intervention,Fat Free White,TNTC,8.18E+01
1,4/7/2022,Beginning,4/21/2022,2,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,3,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,3,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,3,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,3,Intervention,Fat Free White,2.66E+03,1.23E+03
1,4/7/2022,Beginning,4/21/2022,3,Intervention,Fat Free White,1.47E+03,6.13E+02
1,4/7/2022,Beginning,4/21/2022,3,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,3,Intervention,Fat Free White,8.39E+03,5.76E+03
1,4/7/2022,Beginning,4/21/2022,3,Intervention,Fat Free White,3.47E+03,2.27E+03
1,4/7/2022,Beginning,4/21/2022,3,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,3,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,3,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,3,Intervention,Fat Free White,1.31E+03,7.77E+02
1,4/7/2022,Beginning,4/21/2022,3,Intervention,Fat Free White,1.14E+03,8.18E+02
1,4/7/2022,Beginning,4/21/2022,3,Intervention,Fat Free White,1.84E+02,1.43E+02
1,4/7/2022,Beginning,4/21/2022,3,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,3,Intervention,Fat Free White,1.92E+03,1.37E+03
1,4/7/2022,Beginning,4/21/2022,3,Intervention,Fat Free White,1.12E+03,7.15E+02
1,4/7/2022,Beginning,4/21/2022,3,Intervention,Fat Free White,2.39E+03,1.64E+02
1,4/7/2022,Beginning,4/21/2022,3,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,3,Intervention,Fat Free White,2.11E+03,2.04E+02
1,4/7/2022,Beginning,4/21/2022,3,Intervention,Fat Free White,7.36E+02,BDL
1,4/7/2022,Beginning,4/21/2022,3,Intervention,Fat Free White,3.07E+02,3.47E+02
1,4/7/2022,Beginning,4/21/2022,3,Intervention,Fat Free White,1.23E+03,5.72E+02
1,4/7/2022,Beginning,4/21/2022,3,Intervention,Fat Free White,2.25E+02,1.23E+02
1,4/7/2022,Beginning,4/21/2022,3,Intervention,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,4,Control,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,4,Control,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,4,Control,Fat Free White,TNTC,2.04E+01
1,4/7/2022,Beginning,4/21/2022,4,Control,Fat Free White,TNTC,BDL
1,4/7/2022,Beginning,4/21/2022,4,Control,Fat Free White,TNTC,BDL
1,4/7/2022,Beginning,4/21/2022,4,Control,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,4,Control,Fat Free White,TNTC,BDL
1,4/7/2022,Beginning,4/21/2022,4,Control,Fat Free White,TNTC,1.02E+02
1,4/7/2022,Beginning,4/21/2022,4,Control,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,4,Control,Fat Free White,TNTC,4.09E+01
1,4/7/2022,Beginning,4/21/2022,4,Control,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,4,Control,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,4,Control,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,4,Control,Fat Free White,TNTC,BDL
1,4/7/2022,Beginning,4/21/2022,4,Control,Fat Free White,TNTC,BDL
1,4/7/2022,Beginning,4/21/2022,4,Control,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,4,Control,Fat Free White,TNTC,BDL
1,4/7/2022,Beginning,4/21/2022,4,Control,Fat Free White,TNTC,6.13E+01
1,4/7/2022,Beginning,4/21/2022,4,Control,Fat Free White,TNTC,2.04E+01
1,4/7/2022,Beginning,4/21/2022,4,Control,Fat Free White,TNTC,BDL
1,4/7/2022,Beginning,4/21/2022,4,Control,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,4,Control,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,4,Control,Fat Free White,TNTC,TNTC
1,4/7/2022,Beginning,4/21/2022,4,Control,Fat Free White,TNTC,4.09E+01
1,4/7/2022,Beginning,4/21/2022,4,Control,Fat Free White,TNTC,TNTC
1,4/7/2022,End,4/21/2022,1,Control,1% Chocolate,9.81E+02,4.09E+01
1,4/7/2022,End,4/21/2022,1,Control,1% Chocolate,7.15E+02,BDL
1,4/7/2022,End,4/21/2022,1,Control,1% Chocolate,4.70E+02,2.04E+01
1,4/7/2022,End,4/21/2022,1,Control,1% Chocolate,1.02E+02,BDL
1,4/7/2022,End,4/21/2022,1,Control,1% Chocolate,3.88E+02,BDL
1,4/7/2022,End,4/21/2022,1,Control,1% Chocolate,5.72E+02,BDL
1,4/7/2022,End,4/21/2022,1,Control,1% Chocolate,ERROR,2.04E+01
1,4/7/2022,End,4/21/2022,1,Control,1% Chocolate,TNTC,TNTC
1,4/7/2022,End,4/21/2022,1,Control,1% Chocolate,4.21E+03,1.64E+02
1,4/7/2022,End,4/21/2022,1,Control,1% Chocolate,TNTC,TNTC
1,4/7/2022,End,4/21/2022,1,Control,1% Chocolate,1.47E+03,4.09E+01
1,4/7/2022,End,4/21/2022,1,Control,1% Chocolate,1.43E+02,BDL
1,4/7/2022,End,4/21/2022,1,Control,1% Chocolate,3.86E+03,BDL
1,4/7/2022,End,4/21/2022,1,Control,1% Chocolate,6.13E+02,BDL
1,4/7/2022,End,4/21/2022,1,Control,1% Chocolate,5.86E+03,BDL
1,4/7/2022,End,4/21/2022,1,Control,1% Chocolate,4.70E+02,BDL
1,4/7/2022,End,4/21/2022,1,Control,1% Chocolate,2.80E+03,1.47E+03
1,4/7/2022,End,4/21/2022,1,Control,1% Chocolate,1.31E+03,1.12E+03
1,4/7/2022,End,4/21/2022,1,Control,1% Chocolate,3.07E+02,BDL
1,4/7/2022,End,4/21/2022,1,Control,1% Chocolate,1.60E+04,BDL
1,4/7/2022,End,4/21/2022,1,Control,1% Chocolate,1.12E+03,BDL
1,4/7/2022,End,4/21/2022,1,Control,1% Chocolate,1.96E+03,BDL
1,4/7/2022,End,4/21/2022,1,Control,1% Chocolate,1.51E+03,BDL
1,4/7/2022,End,4/21/2022,1,Control,1% Chocolate,2.84E+03,BDL
1,4/7/2022,End,4/21/2022,1,Control,1% Chocolate,2.49E+03,BDL
1,4/7/2022,End,4/21/2022,2,Intervention,1% Chocolate,TNTC,1.31E+03
1,4/7/2022,End,4/21/2022,2,Intervention,1% Chocolate,TNTC,6.34E+02
1,4/7/2022,End,4/21/2022,2,Intervention,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,2,Intervention,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,2,Intervention,1% Chocolate,TNTC,2.11E+03
1,4/7/2022,End,4/21/2022,2,Intervention,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,2,Intervention,1% Chocolate,TNTC,6.13E+01
1,4/7/2022,End,4/21/2022,2,Intervention,1% Chocolate,TNTC,TNTC
1,4/7/2022,End,4/21/2022,2,Intervention,1% Chocolate,TNTC,8.18E+01
1,4/7/2022,End,4/21/2022,2,Intervention,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,2,Intervention,1% Chocolate,TNTC,2.04E+02
1,4/7/2022,End,4/21/2022,2,Intervention,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,2,Intervention,1% Chocolate,TNTC,TNTC
1,4/7/2022,End,4/21/2022,2,Intervention,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,2,Intervention,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,2,Intervention,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,2,Intervention,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,2,Intervention,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,2,Intervention,1% Chocolate,TNTC,2.39E+04
1,4/7/2022,End,4/21/2022,2,Intervention,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,2,Intervention,1% Chocolate,TNTC,TNTC
1,4/7/2022,End,4/21/2022,2,Intervention,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,2,Intervention,1% Chocolate,TNTC,4.09E+01
1,4/7/2022,End,4/21/2022,2,Intervention,1% Chocolate,TNTC,TNTC
1,4/7/2022,End,4/21/2022,2,Intervention,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,3,Intervention,1% Chocolate,TNTC,TNTC
1,4/7/2022,End,4/21/2022,3,Intervention,1% Chocolate,1.64E+03,6.95E+02
1,4/7/2022,End,4/21/2022,3,Intervention,1% Chocolate,1.74E+03,1.43E+02
1,4/7/2022,End,4/21/2022,3,Intervention,1% Chocolate,1.68E+03,BDL
1,4/7/2022,End,4/21/2022,3,Intervention,1% Chocolate,TNTC,TNTC
1,4/7/2022,End,4/21/2022,3,Intervention,1% Chocolate,TNTC,TNTC
1,4/7/2022,End,4/21/2022,3,Intervention,1% Chocolate,2.49E+03,BDL
1,4/7/2022,End,4/21/2022,3,Intervention,1% Chocolate,1.84E+02,4.09E+01
1,4/7/2022,End,4/21/2022,3,Intervention,1% Chocolate,2.53E+04,1.23E+02
1,4/7/2022,End,4/21/2022,3,Intervention,1% Chocolate,1.84E+02,BDL
1,4/7/2022,End,4/21/2022,3,Intervention,1% Chocolate,TNTC,TNTC
1,4/7/2022,End,4/21/2022,3,Intervention,1% Chocolate,TNTC,TNTC
1,4/7/2022,End,4/21/2022,3,Intervention,1% Chocolate,2.04E+02,6.13E+01
1,4/7/2022,End,4/21/2022,3,Intervention,1% Chocolate,1.51E+04,1.24E+04
1,4/7/2022,End,4/21/2022,3,Intervention,1% Chocolate,2.04E+02,2.04E+01
1,4/7/2022,End,4/21/2022,3,Intervention,1% Chocolate,3.47E+02,BDL
1,4/7/2022,End,4/21/2022,3,Intervention,1% Chocolate,1.23E+02,BDL
1,4/7/2022,End,4/21/2022,3,Intervention,1% Chocolate,6.13E+01,BDL
1,4/7/2022,End,4/21/2022,3,Intervention,1% Chocolate,TNTC,TNTC
1,4/7/2022,End,4/21/2022,3,Intervention,1% Chocolate,TNTC,TNTC
1,4/7/2022,End,4/21/2022,3,Intervention,1% Chocolate,1.14E+03,4.09E+01
1,4/7/2022,End,4/21/2022,3,Intervention,1% Chocolate,4.09E+01,BDL
1,4/7/2022,End,4/21/2022,3,Intervention,1% Chocolate,TNTC,TNTC
1,4/7/2022,End,4/21/2022,3,Intervention,1% Chocolate,4.29E+02,8.18E+01
1,4/7/2022,End,4/21/2022,3,Intervention,1% Chocolate,1.02E+02,BDL
1,4/7/2022,End,4/21/2022,4,Control,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,4,Control,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,4,Control,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,4,Control,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,4,Control,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,4,Control,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,4,Control,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,4,Control,1% Chocolate,TNTC,2.04E+01
1,4/7/2022,End,4/21/2022,4,Control,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,4,Control,1% Chocolate,TNTC,TNTC
1,4/7/2022,End,4/21/2022,4,Control,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,4,Control,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,4,Control,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,4,Control,1% Chocolate,TNTC,2.04E+01
1,4/7/2022,End,4/21/2022,4,Control,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,4,Control,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,4,Control,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,4,Control,1% Chocolate,TNTC,2.04E+01
1,4/7/2022,End,4/21/2022,4,Control,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,4,Control,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,4,Control,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,4,Control,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,4,Control,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,4,Control,1% Chocolate,TNTC,BDL
1,4/7/2022,End,4/21/2022,4,Control,1% Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,TNTC
3,4/13/2022,Beginning,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,TNTC
3,4/13/2022,End,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,1,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,1.50E+05
3,4/13/2022,Beginning,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,1.30E+03
3,4/13/2022,Beginning,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,End,4/30/2022,2,Intervention,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,3,Control,Fat Free Chocolate,TNTC,1.50E+03
3,4/13/2022,Beginning,4/30/2022,3,Control,Fat Free Chocolate,TNTC,TNTC
3,4/13/2022,Beginning,4/30/2022,3,Control,Fat Free Chocolate,TNTC,TNTC
3,4/13/2022,Beginning,4/30/2022,3,Control,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,3,Control,Fat Free Chocolate,TNTC,BDL
3,4/13/2022,Beginning,4/30/2022,3,Control,Fat Free Chocolate,TNTC,BDL
